http://dbpedia.org/ontology/SportsTeamMember,http://dbpedia.org/ontology/squadNumber
List of Belgian football transfers summer 2015,69
List of Hungarian football transfers winter 2011–12,20
List of Chinese football transfers summer 2010,6
Green Bay Phoenix men's soccer,9
List of South Korean football transfers summer 2012,29
New Mexico Lobos men's soccer,15
Convocazioni per la Coppa del mondo per club FIFA 2013,20
St. Francis Brooklyn Terriers men's soccer,5
2013年中国足球冬季转会列表,2
Maryland Terrapins men's soccer,1
List of Bulgarian football transfers summer 2013,32
Hull City A.F.C. Reserves and Juniors,40
List of Japanese football transfers winter 2009–10,38
Eredivisie 2010/11 (mannenvoetbal)/Transfers winter,46
List of Russian football transfers winter 2011–12,79
List of Japanese football transfers summer 2012,36
List of Chinese football transfers winter 2011,28
List of Turkish football transfers summer 2014,26
2002–03 Manchester City F.C. season,8
2013–14 Viborg FF season,23
2005 South Carolina Gamecocks men's soccer team,21
2014–15 UEFA Youth League squads,53
Delta Queens,21
List of Ukrainian football transfers summer 2009,1
List of Serbian football transfers summer 2013,40
قوائم الفرق في كأس العالم لأندية كرة القدم 2010,21
List of Russian football transfers winter 2009–10,61
Delta Queens,28
List of Norwegian football transfers 2010,21
Syracuse Orange men's soccer,22
List of Azerbaijan football transfers summer 2010,4
List of Belgian football transfers winter 2009–10,17
List of Iranian football transfers summer 2010,2
List of Greek football transfers summer 2011,6
2008 Colo-Colo season,24
HNK Hajduk Split statistics and records,8
List of Hungarian football transfers summer 2012,87
Maybank HC,10
Syracuse Orange men's soccer,7
2014–15 Grimsby Town F.C. season,30
List of German football transfers winter 2012–13,39
Клубный чемпионат мира по футболу 2008 (составы),24
List of Chinese football transfers winter 2011,37
2004–05 Fulham F.C. season,29
List of Slovak football transfers winter 2012–13,5
List of Belgian football transfers winter 2012–13,32
List of Cypriot football transfers winter 2011–12,84
2009–10 Ipswich Town F.C. season,26
List of Chinese football transfers winter 2014,38
List of German football transfers summer 2013,23
List of Azerbaijan football transfers summer 2012,34
List of Azerbaijan football transfers winter 2011,27
List of South Korean football transfers winter 2011–12,4
2010–11 Estudiantes Tecos season,24
Syracuse Orange men's soccer,16
2014 Indonesian Inter Island Cup squads,44
Manchester City Football Club 2000-2001,15
2014–15 UEFA Youth League squads,26
2014 Indonesian Inter Island Cup squads,53
List of Russian football transfers summer 2010,75
2005 South Carolina Gamecocks men's soccer team,1
List of Ukrainian football transfers summer 2009,25
List of Chinese football transfers summer 2010,36
List of French football transfers summer 2013,5
List of Azerbaijan football transfers summer 2012,18
List of Chinese football transfers winter 2012,5
List of Russian football transfers summer 2010,18
List of Bosnia and Herzegovina football transfers winter 2012–13,18
List of Latvian football transfers winter 2014–15,22
List of Slovak football transfers summer 2013,25
List of Maltese football transfers summer 2010,1
List of Norwegian football transfers winter 2012–13,25
2013年中国足球冬季转会列表,49
List of Belgian football transfers summer 2015,14
韋斯咸2012年至2013年球季,45
قوائم الفرق في كأس العالم لأندية كرة القدم 2010,5
2006 South Carolina Gamecocks men's Soccer Team,23
Akron Zips men's soccer,10
Akron Zips men's soccer,6
List of Mexican football transfers summer 2010,24
FIU Panthers men's soccer,15
2013–14 UEFA Youth League squads,43
List of South Korean football transfers summer 2012,28
All-time Saint Louis Athletica roster,12
List of Chinese football transfers winter 2011,21
2008–09 Queensland Roar W-League season,14
Toledo BM,5
List of Uzbek football transfers 2012,45
Al-Rayan SC Handball Team,2
2014–15 UEFA Youth League squads,12
List of Azerbaijan football transfers winter 2012,18
List of Chinese football transfers winter 2012,32
List of Norwegian football transfers 2010,34
2010–11 San Luis F.C. season,16
2012–13 West Ham United F.C. season,45
List of Belgian football transfers winter 2013–14,34
List of Cypriot football transfers summer 2013,100
Cal Poly Mustangs men's soccer,30
List of Hungarian football transfers summer 2010,42
List of Ukrainian football transfers summer 2010,9
List of Azerbaijan football transfers summer 2011,4
List of Azerbaijan football transfers winter 2014,5
West Ham United F.C. Reserves and Academy,61
Sapura HC,16
Elencos da Copa do Mundo de Clubes da FIFA de 2012,18
List of Japanese football transfers winter 2009–10,18
List of Azerbaijan football transfers summer 2011,3
List of Hungarian football transfers summer 2012,3
List of Serbian football transfers winter 2011–12,23
List of Iranian football transfers winter 2013–14,44
List of German football transfers summer 2013,27
List of Bulgarian football transfers winter 2011–12,73
List of Cypriot football transfers summer 2008,3
List of Greek football transfers summer 2012,36
List of Iranian football transfers summer 2011,26
2013 FIFA Club World Cup squads,11
List of Belgian football transfers summer 2014,48
Laguna F.C.,21
2014–15 Grimsby Town F.C. season,19
List of Russian football transfers winter 2011–12,38
List of Belgian football transfers summer 2009,13
List of Latvian football transfers summer 2014,6
List of Serbian football transfers winter 2013–14,29
2008–09 Queensland Roar W-League season,9
List of Iranian football transfers summer 2013,4
F.C. Cape Town,25
List of Uzbek football transfers 2012,51
Toledo BM,12
2002–03 Manchester City F.C. season,45
Saison 2013-2014 du Valenciennes FC,21
FIU Panthers men's soccer,1
List of Estonian football transfers summer 2013,8
List of Japanese football transfers summer 2012,4
West Ham United F.C. Reserves and Academy,43
List of Slovak football transfers summer 2013,37
Universitario Lima/Lista piłkarzy,26
List of Cypriot football transfers winter 2013–14,37
2010–11 C.F. Pachuca season,18
List of Russian football transfers winter 2011–12,24
List of Belgian football transfers summer 2009,31
2012 Wake Forest Demon Deacons men's soccer team,8
List of Azerbaijan football transfers winter 2011,29
2006 FIFA Club World Cup squads,20
List of Russian football transfers summer 2010,63
List of Russian football transfers winter 2009–10,58
2013–14 Valenciennes FC season,20
2014–15 UEFA Youth League squads,38
Al Rayyan Handball Team,15
2010–11 Puebla F.C. season,141
List of Russian football transfers winter 2011–12,31
Wake Forest Demon Deacons men's soccer,6
2014–15 UEFA Youth League squads,21
Ignition de Détroit,63
2007 CIS Men's Soccer Championship,14
2006 SK Brann season,7
Lisbon Lions,13
List of Chinese football transfers winter 2014,29
List of Serbian football transfers summer 2012,5
List of Dutch football transfers winter 2010–11,6
"Al-Arabi (Saudi Arabia, handball club)",9
List of Slovak football transfers summer 2012,4
List of Latvian football transfers summer 2013,26
List of South Korean football transfers winter 2013–14,4
Ajax Sportsman Combinatie,70
List of Hungarian football transfers summer 2010,7
List of Mexican football transfers winter 2013–14,14
Syracuse Orange men's soccer,13
Ohio State Buckeyes men's soccer,29
Maryland Terrapins men's soccer,19
List of Belgian football transfers summer 2009,6
Sliema Hotsticks Hockey Club,14
List of Greek football transfers summer 2012,7
2006–07 Plymouth Argyle F.C. season,28
List of Chinese football transfers winter 2014,24
Clemson Tigers men's soccer,27
List of Turkish football transfers summer 2013,83
List of Russian football transfers summer 2013,36
2013 FIFA Club World Cup squads,29
List of Bulgarian football transfers winter 2010–11,65
2007 CIS Men's Soccer Championship,23
2004–05 Fulham F.C. season,9
List of Macedonian football transfers winter 2014–15,30
List of Mexican football transfers summer 2012,19
List of Belgian football transfers winter 2013–14,30
1996–97 UE Lleida season,7
葉士域治2009年至2010年球季,40
2012–13 West Ham United F.C. season,48
List of Belgian football transfers winter 2013–14,76
List of German football transfers summer 2008,12
List of Serbian football transfers summer 2013,76
List of German football transfers summer 2010,22
List of Belgian football transfers summer 2010,9
1999–2000 Blackpool F.C. season,20
Akron Zips men's soccer,19
List of Greek football transfers summer 2010,25
List of Russian football transfers winter 2010–11,17
List of Club Universitario de Deportes players,11
2010 FIFA Club World Cup squads,19
UR La Louvière Centre,25
Akron Zips men's soccer,19
List of Cypriot football transfers winter 2013–14,41
List of Russian football transfers summer 2013,53
Convocazioni per la Coppa del mondo per club FIFA 2012,22
List of Belgian football transfers winter 2013–14,41
List of Azerbaijan football transfers summer 2011,92
FK Bratstvo Cijevna,14
List of Maltese football transfers summer 2010,68
Green Bay Phoenix men's soccer,22
List of Greek football transfers summer 2010,28
Elencos da Copa do Mundo de Clubes da FIFA de 2010,36
List of Slovak football transfers summer 2013,45
Convocazioni per la Coppa del mondo per club FIFA 2006,25
Eredivisie 2010/11 (mannenvoetbal)/Transfers winter,31
List of German football transfers summer 2010,16
List of South Korean football transfers winter 2011–12,5
List of Latvian football transfers summer 2013,12
2010–11 Club Atlas season,54
قوائم الفرق في كأس العالم لأندية كرة القدم 2010,31
1996–97 UE Lleida season,6
List of Ukrainian football transfers summer 2009,69
List of Maltese football transfers summer 2013,13
List of Mexican football transfers summer 2012,35
UC Santa Barbara Gauchos men's soccer,24
List of Serbian football transfers summer 2012,30
2009 Carolina RailHawks FC season,27
List of Iranian football transfers summer 2012,29
Manchester City Football Club 2000-2001,1
Ohio State Buckeyes men's soccer,32
Los Angeles Skyhawks,4
2009 Carolina RailHawks FC season,9
List of Cypriot football transfers winter 2013–14,106
List of Russian football transfers winter 2011–12,33
Клубный чемпионат мира по футболу 2008 (составы),7
Ohio State Buckeyes men's soccer,24
Eredivisie 2010/11 (mannenvoetbal)/Transfers winter,25
List of Serbian football transfers summer 2012,21
2000–01 Manchester City F.C. season,29
2007 CIS Men's Soccer Championship,6
List of Norwegian football transfers 2010,22
List of Norwegian football transfers summer 2014,30
List of Latvian football transfers winter 2013–14,2
2000–01 Fulham F.C. season,27
Full Members Cup 1988-89,8
2014 Indonesian Inter Island Cup qualification squads,27
List of Chinese football transfers winter 2014,62
Elencos da Copa do Mundo de Clubes da FIFA de 2012,27
List of Bulgarian football transfers summer 2012,80
List of Russian football transfers summer 2012,3
1996–97 UE Lleida season,8
List of German football transfers summer 2010,22
List of Russian football transfers summer 2013,101
2008 FIFA Club World Cup squads,26
List of Macedonian football transfers winter 2014–15,22
List of Estonian football transfers summer 2013,9
List of Bulgarian football transfers winter 2010–11,27
List of Russian football transfers summer 2010,25
List of Iranian football transfers winter 2013–14,31
List of Cypriot football transfers winter 2013–14,12
List of Russian football transfers winter 2011–12,72
List of Maltese football transfers winter 2009–10,24
List of Latvian football transfers summer 2013,22
Green Bay Phoenix men's soccer,7
List of Slovak football transfers summer 2013,26
2010–11 Deportivo Toluca season,12
List of Maltese football transfers summer 2009,5
List of Mexican football transfers summer 2013,25
Shabab Al-Bireh Institute,18
List of Chinese football transfers winter 2013,39
Toledo BM,4
Cal Poly Mustangs men's soccer,15
List of Russian football transfers summer 2010,64
List of Cypriot football transfers summer 2013,16
List of Japanese football transfers summer 2012,49
Клубный чемпионат мира по футболу 2013 (составы),27
List of Russian football transfers winter 2010–11,27
List of Greek football transfers summer 2012,21
List of Cypriot football transfers winter 2013–14,9
List of Serbian football transfers summer 2012,23
List of Greek football transfers summer 2010,47
List of Iranian football transfers summer 2009,15
2005 South Carolina Gamecocks men's soccer team,10
List of Bulgarian football transfers winter 2013–14,41
Elencos da Copa do Mundo de Clubes da FIFA de 2010,6
List of Turkish football transfers summer 2013,99
List of Norwegian football transfers 2010,24
2013–14 UEFA Youth League squads,14
2009–10 Paris Saint-Germain F.C. (Ladies) season,19
List of Iranian football transfers winter 2013–14,40
Клубный чемпионат мира по футболу 2013 (составы),9
UC Santa Barbara Gauchos men's soccer,10
2009–10 Göztepe A.Ş. season,8
2010–11 Club Necaxa season,22
List of Latvian football transfers summer 2013,9
2011–12 Grimsby Town F.C. season,4
Lijst van Bundesliga-transfers zomer 2012,31
2004–05 Fulham F.C. season,22
2013–14 SC Eendracht Aalst season,5
List of Iranian football transfers summer 2010,22
1999 Indiana Hoosiers men's soccer team,3
List of Estonian football transfers summer 2013,24
List of Estonian football transfers winter 2012–13,17
2013–14 UEFA Youth League squads,86
List of Iranian football transfers summer 2013,23
List of Greek football transfers summer 2010,89
2010–11 Querétaro F.C. season,36
List of Belgian football transfers summer 2009,17
List of Latvian football transfers winter 2013–14,25
List of Cypriot football transfers summer 2013,73
List of Hungarian football transfers winter 2011–12,10
Laguna Football Club,5
List of Mexican football transfers summer 2012,3
2014 Indonesian Inter Island Cup qualification squads,22
葉士域治2009年至2010年球季,23
2010–11 C.F. Monterrey season,16
List of Ukrainian football transfers winter 2008–09,51
List of Slovak football transfers summer 2012,47
List of Iranian football transfers summer 2011,23
List of Serbian football transfers winter 2011–12,68
List of Maltese football transfers summer 2009,7
List of Chinese football transfers summer 2010,39
List of Japanese football transfers summer 2012,25
2014–15 UEFA Youth League squads,34
2012 FIFA Club World Cup squads,5
List of Bulgarian football transfers winter 2013–14,31
List of Hungarian football transfers winter 2011–12,36
2010 FIFA Club World Cup squads,83
2004–05 Fulham F.C. season,18
List of Belgian football transfers winter 2013–14,23
List of Maltese football transfers winter 2009–10,22
List of Iranian football transfers summer 2010,16
List of Ukrainian football transfers winter 2014–15,36
List of Iranian football transfers winter 2013–14,18
Charlotte 49ers men's soccer,6
List of Iranian football transfers winter 2010–11,30
List of Bosnian football transfers winter 2013–14,6
Клубный чемпионат мира по футболу 2012 (составы),15
List of Latvian football transfers winter 2011–12,78
Elencos da Copa do Mundo de Clubes da FIFA de 2010,28
List of Azerbaijan football transfers summer 2013,23
2006 South Carolina Gamecocks men's Soccer Team,19
List of Macedonian football transfers winter 2014–15,33
Union Royale La Louvière Centre,15
Клубный чемпионат мира по футболу 2010 (составы),5
List of Hungarian football transfers summer 2013,10
2010–11 Puebla F.C. season,4
2012 FIFA Club World Cup squads,11
2013–14 Vitória F.C. season,9
2004 South Carolina Gamecocks men's Soccer Team,3
2002–03 Manchester City F.C. season,23
2010–11 Club Atlas season,7
List of Hungarian football transfers summer 2012,61
List of Chinese football transfers winter 2011,16
List of Bulgarian football transfers winter 2011–12,34
Manchester City Football Club 2002-2003,13
List of Iranian football transfers summer 2009,19
List of Turkish football transfers summer 2013,98
UR La Louvière Centre,94
List of Norwegian football transfers summer 2014,8
List of Bulgarian football transfers winter 2010–11,7
List of Bulgarian football transfers winter 2011–12,91
List of Chinese football transfers winter 2013,30
Detroit Ignition,13
Elencos da Copa do Mundo de Clubes da FIFA de 2013,1
Lisbon Lions,5
List of Serbian football transfers summer 2010,28
Detroit Ignition,28
List of Qatari football transfers summer 2012,23
List of Bulgarian football transfers winter 2013–14,72
List of Iranian football transfers summer 2011,14
Elencos da Copa do Mundo de Clubes da FIFA de 2010,18
2013年中国足球冬季转会列表,7
List of Azerbaijan football transfers summer 2012,79
2010–11 C.F. Monterrey season,29
List of Hungarian football transfers summer 2012,40
2014 Indonesian Inter Island Cup qualification squads,9
Sliema Hotsticks Hockey Club,3
List of Cypriot football transfers summer 2013,43
UMBC Retrievers men's soccer,20
2002–03 Manchester City F.C. season,19
List of Bulgarian football transfers winter 2011–12,37
2011–12 Grimsby Town F.C. season,18
Universitario Lima/Lista piłkarzy,7
List of Hungarian football transfers summer 2010,53
Hóquei Clube de Braga,4
List of Turkish football transfers summer 2014,25
Convocazioni per la Coppa del mondo per club FIFA 2006,2
List of Bulgarian football transfers winter 2010–11,24
2013–14 UEFA Youth League squads,58
Eredivisie 2010/11 (mannenvoetbal)/Transfers winter,29
List of Turkish football transfers summer 2010,93
UR La Louvière Centre,9
List of South Korean football transfers winter 2013–14,25
Eredivisie 2010/11 (mannenvoetbal)/Transfers winter,34
List of Maltese football transfers summer 2013,23
UC Santa Barbara Gauchos men's soccer,13
List of Belgian football transfers summer 2010,4
FIU Panthers men's soccer,4
2008 FIFA Club World Cup squads,9
List of Norwegian football transfers 2010,9
List of Chinese football transfers winter 2013,4
List of Chinese football transfers summer 2013,59
List of Iranian football transfers summer 2012,9
Penn State Nittany Lions men's soccer,2
2005 South Carolina Gamecocks men's soccer team,20
List of Greek football transfers summer 2012,6
List of Albanian football transfers summer 2013,4
2002–03 Manchester City F.C. season,23
List of Latvian football transfers winter 2011–12,52
Manchester City Football Club 2000-2001,14
All-time Saint Louis Athletica roster,8
List of Bulgarian football transfers winter 2011–12,18
2010–11 Atlante F.C. season,4
List of Albanian football transfers winter 2009–10,14
Meelin GAA,18
Convocazioni per la Coppa del mondo per club FIFA 2008,11
2014 Indonesian Inter Island Cup squads,79
Maybank HC,2
List of South Korean football transfers winter 2011–12,27
List of Russian football transfers summer 2012,79
List of Bulgarian football transfers winter 2011–12,16
Los Angeles Skyhawks,13
List of Maltese football transfers summer 2010,6
List of Hungarian football transfers summer 2012,84
List of Latvian football transfers winter 2013–14,13
List of Qatari football transfers winter 2011–12,22
2013–14 Valenciennes FC season,14
List of Chinese football transfers winter 2012,41
List of Iranian football transfers winter 2013–14,70
2010–11 Club Universidad Nacional season,1
List of Bosnia and Herzegovina football transfers summer 2013,9
Tacoma Tides,8
List of Azerbaijan football transfers winter 2010,11
2009–10 Ipswich Town F.C. season,8
List of Iranian football transfers winter 2011–12,36
Ajax Sportsman Combinatie,5
List of Bulgarian football transfers summer 2012,15
Elencos da Copa do Mundo de Clubes da FIFA de 2010,18
UMBC Retrievers men's soccer,24
List of Maltese football transfers winter 2009–10,92
List of South Korean football transfers summer 2012,19
List of Serbian football transfers summer 2010,1
List of Azerbaijan football transfers winter 2011,38
2010–11 Atlante F.C. season,33
List of Slovak football transfers summer 2012,16
List of Hungarian football transfers summer 2010,4
2013–14 C.F. União season,3
List of Azerbaijan football transfers summer 2010,20
2010–11 Club Universidad Nacional season,80
List of Slovak football transfers summer 2012,23
List of Albanian football transfers winter 2009–10,19
Club Universidad Nacional 2010-2011,17
List of Iranian football transfers summer 2011,18
Convocazioni per la Coppa del mondo per club FIFA 2012,13
2014 Indonesian Inter Island Cup qualification squads,7
Delaware Fightin' Blue Hens men's soccer,26
List of Turkish football transfers summer 2010,22
List of Russian football transfers winter 2009–10,61
List of Russian football transfers winter 2009–10,81
2006 SK Brann season,8
Lijst van Bundesliga-transfers zomer 2013,15
Clemson Tigers men's soccer,12
List of South Korean football transfers summer 2012,21
2013年中国足球冬季转会列表,56
2010–11 Tigres UANL season,14
List of Latvian football transfers summer 2013,3
List of Latvian football transfers summer 2013,23
Sportsklubben Brann 2006,33
List of Iranian football transfers summer 2009,6
List of South Korean football transfers winter 2011–12,39
List of Serbian football transfers summer 2013,3
Клубный чемпионат мира по футболу 2013 (составы),30
2013 FIFA Club World Cup squads,30
List of Iranian football transfers summer 2009,39
List of Japanese football transfers summer 2013,47
Convocazioni per la Coppa del mondo per club FIFA 2008,2
2010–11 Deportivo Toluca season,13
List of Ukrainian football transfers summer 2010,3
葉士域治2009年至2010年球季,36
List of Qatari football transfers winter 2011–12,67
2012–13 Grimsby Town F.C. season,13
List of German football transfers winter 2008–09,5
List of Bulgarian football transfers summer 2012,12
2010 Saint Louis Athletica season,23
Lijst van Bundesliga-transfers zomer 2012,9
List of Serbian football transfers winter 2013–14,27
Toledo BM,6
List of German football transfers winter 2012–13,24
2013–14 SC Eendracht Aalst season,22
List of South Korean football transfers winter 2011–12,58
2012 FIFA Club World Cup squads,35
List of German football transfers summer 2013,39
FIU Panthers men's soccer,28
List of Turkish football transfers summer 2013,1
2013年中国足球冬季转会列表,15
Ignition de Détroit,90
2010–11 San Luis F.C. season,22
List of Serbian football transfers summer 2012,8
2011–12 Grimsby Town F.C. season,8
List of Slovak football transfers summer 2013,22
List of Chinese football transfers winter 2013,11
List of Russian football transfers summer 2013,81
2009–10 Ipswich Town F.C. season,4
2002–03 Manchester City F.C. season,32
2012 Wake Forest Demon Deacons men's soccer team,29
2014–15 UEFA Youth League squads,59
2012–13 Grimsby Town F.C. season,3
Toledo Balonmano,2
2006 FIFA Club World Cup squads,15
List of Iranian football transfers winter 2013–14,34
2014–15 UEFA Youth League squads,28
List of Chinese football transfers summer 2010,22
Sportsklubben Brann 2007,23
2010–11 US Créteil-Lusitanos season,14
Elencos da Copa do Mundo de Clubes da FIFA de 2013,18
Laguna Football Club,9
Клубный чемпионат мира по футболу 2013 (составы),36
2013–14 SC Eendracht Aalst season,23
List of Hungarian football transfers winter 2013–14,2
Клубный чемпионат мира по футболу 2013 (составы),8
List of Chinese football transfers winter 2012,17
2004–05 Fulham F.C. season,15
List of Ukrainian football transfers summer 2009,14
List of Russian football transfers winter 2009–10,72
2012–13 Grimsby Town F.C. season,4
Football for Hope,21
F.C. Cape Town,10
List of Belgian football transfers winter 2008–09,30
List of Serbian football transfers winter 2013–14,100
List of Bulgarian football transfers winter 2013–14,30
2010–11 Club Necaxa season,6
2013–14 UEFA Youth League squads,57
List of Russian football transfers winter 2010–11,58
List of Serbian football transfers summer 2012,6
List of Azerbaijan football transfers winter 2012,13
2009–10 Göztepe A.Ş. season,6
List of Maltese football transfers summer 2008,10
UR La Louvière Centre,8
List of Cypriot football transfers winter 2011–12,72
List of Iranian football transfers summer 2012,33
2005 South Carolina Gamecocks men's soccer team,26
2013–14 Maccabi Tel Aviv F.C. season,11
Convocazioni per la Coppa del mondo per club FIFA 2008,32
List of Azerbaijan football transfers summer 2013,37
List of Russian football transfers winter 2009–10,46
List of Azerbaijan football transfers summer 2012,91
List of Azerbaijan football transfers summer 2010,18
List of Azerbaijan football transfers summer 2012,11
Penn State Nittany Lions men's soccer,11
2010–11 Estudiantes Tecos season,5
2010–11 Querétaro F.C. season,2
List of Russian football transfers winter 2011–12,61
West Ham United FC in het seizoen 2012/13,36
List of Belgian football transfers summer 2009,60
Lijst van Bundesliga-transfers zomer 2013,20
2013–14 Valenciennes FC season,3
2012–13 Walsall F.C. season,17
List of Mexican football transfers winter 2013–14,8
List of Macedonian football transfers winter 2014–15,29
2014–15 UEFA Youth League squads,7
2010–11 Atlante F.C. season,29
Sapura HC,13
Manchester City Football Club 2000-2001,12
Olympiacos B.C. season 2008–09,4
List of Azerbaijan football transfers winter 2011,15
Клубный чемпионат мира по футболу 2013 (составы),6
List of Serbian football transfers summer 2010,2
2008 CIS Men's Soccer Championship,2
List of Azerbaijan football transfers winter 2012,20
List of Norwegian football transfers winter 2012–13,3
2010–11 Estudiantes Tecos season,1
Elencos da Copa do Mundo de Clubes da FIFA de 2012,22
List of Cypriot football transfers summer 2013,83
List of Russian football transfers winter 2011–12,28
Ohio State Buckeyes men's soccer,20
All-time Saint Louis Athletica roster,26
Akron Zips men's soccer,14
List of Bulgarian football transfers winter 2013–14,31
Al-Sadd Sports Club Handball,17
South Florida Bulls men's soccer,8
2010–11 West Ham United F.C. season,13
List of Greek football transfers summer 2012,23
List of Azerbaijan football transfers winter 2010,18
List of Hungarian football transfers summer 2012,27
List of Chinese football transfers summer 2013,52
List of Russian football transfers winter 2009–10,36
List of Cypriot football transfers summer 2013,7
葉士域治2009年至2010年球季,44
List of South Korean football transfers summer 2012,46
List of Albanian football transfers summer 2011,18
List of Belgian football transfers summer 2009,12
List of South Korean football transfers winter 2013–14,41
Sliema Hotsticks Hockey Club,4
2010–11 Club América season,7
Meelin GAA,11
Al Sadd SC (handball),12
2014 Indonesian Inter Island Cup squads,72
List of Macedonian football transfers winter 2014–15,3
Convocazioni per la Coppa del mondo per club FIFA 2008,30
List of German football transfers summer 2008,7
List of Belgian football transfers summer 2014,21
2008–09 Blackpool F.C. season,36
2012–13 West Ham United F.C. season,49
List of Japanese football transfers winter 2009–10,5
List of Greek football transfers summer 2010,12
List of Russian football transfers summer 2010,53
List of Mexican football transfers summer 2013,2
List of Hungarian football transfers summer 2012,21
List of Russian football transfers summer 2013,27
Elencos da Copa do Mundo de Clubes da FIFA de 2010,2
List of Cypriot football transfers summer 2013,53
List of Cypriot football transfers winter 2013–14,26
Al Rayyan Handball Team,1
2013–14 Stationery Stores season,7
List of Japanese football transfers summer 2012,2
2010–11 Club Universidad Nacional season,16
List of Belgian football transfers summer 2015,5
List of Ukrainian football transfers winter 2008–09,35
2013–14 UEFA Youth League squads,70
List of Bulgarian football transfers summer 2010,9
List of Russian football transfers winter 2009–10,39
2000–01 Fulham F.C. season,13
2002–03 Manchester City F.C. season,23
2007 SK Brann season,16
Wake Forest Demon Deacons men's soccer,18
South Florida Bulls men's soccer,20
List of Bulgarian football transfers summer 2013,85
List of Hungarian football transfers winter 2013–14,24
List of Norwegian football transfers summer 2014,4
2010 Rochester Rhinos season,8
2010–11 C.F. Monterrey season,60
2014 Indonesian Inter Island Cup qualification squads,16
List of German football transfers winter 2008–09,15
List of Russian football transfers summer 2013,19
List of German football transfers summer 2008,33
List of Hungarian football transfers winter 2013–14,75
List of Bulgarian football transfers summer 2010,89
2010–11 Deportivo Toluca season,5
List of Estonian football transfers winter 2012–13,30
Hóquei Clube de Braga,2
2009–10 Göztepe A.Ş. season,11
List of Ukrainian football transfers summer 2009,10
List of Hungarian football transfers summer 2010,31
2009–10 Göztepe A.Ş. season,19
Lijst van Bundesliga-transfers zomer 2012,33
2004–05 Fulham F.C. season,12
List of Dutch football transfers winter 2010–11,23
2010–11 Deportivo Toluca season,15
2014 Indonesian Inter Island Cup qualification squads,8
1980 CIS Men's Soccer Championship,5
List of German football transfers summer 2012,28
2012–13 Grimsby Town F.C. season,1
Convocazioni per la Coppa del mondo per club FIFA 2012,20
Convocazioni per la Coppa del mondo per club FIFA 2010,87
2014–15 UEFA Youth League squads,43
List of Russian football transfers summer 2010,1
2006–07 Plymouth Argyle F.C. season,19
List of Norwegian football transfers winter 2012–13,8
2012–13 Walsall F.C. season,20
List of Azerbaijan football transfers summer 2009,33
Olympiacos B.C. season 2008–09,17
List of Russian football transfers summer 2013,42
List of South Korean football transfers winter 2011–12,22
Клубный чемпионат мира по футболу 2012 (составы),25
Green Bay Phoenix men's soccer,9
List of Greek football transfers summer 2012,28
List of Azerbaijan football transfers summer 2010,10
Ajax Sportman Combinatie,95
List of German football transfers winter 2008–09,35
All-time Saint Louis Athletica roster,24
Detroit Ignition,3
Olympiacos B.C. season 2008–09,13
List of German football transfers summer 2009,27
2014–15 Grimsby Town F.C. season,5
Green Bay Phoenix men's soccer,20
