http://dbpedia.org/ontology/Location,http://dbpedia.org/ontology/areaWater
"Gorham (CDP), Maine",100000.0
努沃勒埃利耶區,35000000.0
"Municipio de Ballville (condado de Sandusky, Ohio)",1100000.0
"Municipio de Pleasant (condado de Butler, Kansas)",103600.0
"Oakland (condado de Kennebec, Maine)",776996.0
"Deer Creek Township, Miami County, Indiana",51799.8
"Ogallah, Kansas",258999.0
"Arion Township, Cloud County, Kansas",51799.8
Connecticut,1809000000.0
"Municipio de Bucks (condado de Tuscarawas, Ohio)",0.0
Gorham (Maine),1740000.0
"Municipio de Jackson (condado de Putnam, Indiana)",0.0
Beach Cities,28619400.0
Jackson (Misisipi),4920980.0
"Municipio de Brandywine (condado de Shelby, Indiana)",284899.0
"Reno, Nevada",7400000.0
"Clearlake Riviera, California",4000.0
"McSwain, California",0.0
Astoria (Oregon),10230500.0
內布拉斯加州,1247000000.0
Los Osos,51799.8
"Municipio de Buckingham (condado de Wayne, Pensilvania)",3100000.0
Ithaca (Nueva York),1553990.0
"Prussia Township, Adair County, Iowa",60000.0
"Municipio de Grand Meadow (condado de Cherokee, Iowa)",70000.0
"Municipio de Russell (condado de Putnam, Indiana)",129499.0
Municipio de Victoria (Iowa),60000.0
尼歐肖鎮區 (堪薩斯州科菲縣),414398.0
麥卡杜鎮區 (巴伯縣),336698.0
Портленд (Орегон),30000000.0
"Belle Township, Holt County, Nebraska",110000.0
Bayview (Caroline du Nord),0.0
Shawmut (Montana),0.0
"Mina, Nevada",0.0
Gmina Canton (Iowa),270000.0
Abanda (Alabama),34000.0
Villaluenga del Rosario,0.0
قرية ساجرتيس (نيويورك),1036000.0
"Perrysburg Township, Wood County, Ohio",2100000.0
科亞卡科,3550000.0
"Municipio de Union City (condado de Allamakee, Iowa)",51799.8
奧塔姆瓦鎮區 (堪薩斯州科菲縣),15125500.0
Hagerstown (Maryland),25899.9
Darbydale (Ohio),0.0
Río Rancho,800000.0
"Platte Township, Butler County, Nebraska",336698.0
