http://dbpedia.org/ontology/Weapon,http://dbpedia.org/ontology/length
Johnson M1941 (Gewehr),1.1651
M1941 Johnson rifle,1.1651
Fusil Johnson M1941,1.1651
Johnson M1941,1.1651
Johnson Automatisch Geweer,1.1651
M1941ジョンソン小銃,1.1651
Karabin Johnson M1941,1.1651
Fuzil Johnson M1941,1.1651
Johnson M1941,1.1651
M1941半自動步槍,1.1651
M901,4.863
M901 ITV,4.863
Medium Tactical Vehicle Replacement,7.998
MTVR,7.998
Medium Tactical Vehicle Replacement,7.998
مينيغون,0.8016
Minigun,0.8016
Minigun,0.8016
Minigun,0.8016
Minigun,0.8016
M134 Minigun,0.8016
M134 (機関銃),0.8016
M134 (vuurwapen),0.8016
Karabin maszynowy M134 Minigun,0.8016
M134 Minigun,0.8016
M134 Minigun,0.8016
M134迷你砲機槍,0.8016
Mistral (missile),1.86
Mistral (Rakete),1.86
MBDA Mistral,1.86
Mistral (missile),1.86
MBDA Mistral,1.86
ミストラル (ミサイル),1.86
Mistral (luchtdoelraket),1.86
Mistral (pocisk),1.86
Мистраль (ПЗРК),1.86
西北風便攜式防空飛彈,1.86
OZ-14 Grosa,0.61
OTs-14 Groza,0.61
OTs-14 Groza,0.61
OC-14,0.61
OC-14-4A,0.61
OTs-14,0.61
OC-14,0.61
Karabin OC-14 Groza,0.61
ОЦ-14,0.61
OTs-14突击步枪,0.61
Pancor Jackhammer,0.787
Jackhammer,0.787
Pancor Jackhammer,0.787
Pancor Jackhammer,0.787
Pancor Jackhammer,0.787
Strzelba Pancor Jackhammer,0.787
Pancor Jackhammer,0.787
Pancor Jackhammer,0.787
Jackhammer轉輪式自動霰彈槍,0.787
Ruger LCP,0.131064
Ruger LCP,0.131064
ルガーLCP,0.131064
Ruger LCP,0.131064
سيج أس جي 550,0.998
SIG 550,0.998
SIG SG 550,0.998
SIG SG 550,0.998
SIG-550,0.998
SIG SG 550,0.998
SIG SG550,0.998
Karabin SG 550,0.998
SIG SG 550,0.998
SIG SG 550,0.998
SIG SG 550突擊步槍,0.998
سكود,11.25
Scud,11.25
Misil Scud,11.25
Scud,11.25
SS-1 Scud,11.25
スカッド,11.25
Scud,11.25
Scud,11.25
飛毛腿飛彈,11.25
Scud,11.25
Trishul (missile),3.1
Typ 1 Chi-He,5.5
Type 1 Chi-He,5.5
Type 1 Chi-He,5.5
一式中戦車,5.5
Type 1 Chi-He,5.5
Typ 1 Chi-He,5.5
Чи-Хе,5.5
一式中戰車,5.5
Type 1 Ho-Ha,6.1
Type 1 Ho-Ha,6.1
一式半装軌装甲兵車,6.1
Type 1 Ho-Ha,6.1
Typ 1 Ho-Ha,6.1
Хо-Ха,6.1
Type 1 Ho-Ki,4.78
Type 1 Ho-Ki,4.78
一式装甲兵車,4.78
Type 1 Ho-Ki,4.78
Typ 1 Ho-Ki,4.78
