http://dbpedia.org/ontology/Location,http://dbpedia.org/ontology/populationTotal
"Saru, Mazandaran",1658
Kallar-e Sofla,214
جزر الولايات المتحدة الصغيرة النائية,300
圣萨蒂尔南 (洛泽尔省),73
Grandfontaine (Basso Reno),390
Gaza,515556
Л’Иль-Адам,11976
Saint-Sauveur-de-Peyre,251
Lor (Syunik),365
Fuente-Olmedo,45
Região Autônoma do Tibete,3180000
Les Angles (Pyrénées-Orientales),541
Horka (Saksen),1984
"Akbarabad, Tabas",91
Gmund am Tegernsee,6069
Krutyń,260
Тервел (община),17458
Жечица (гмина),4971
Kowale Oleckie,2400
Бистра (Хорватия),6632
Les Angles (Hautes-Pyrénées),125
Hilldale,1246
Oberdorf (França),564
Provincia di Bokeo,145263
Abbéville-lès-Conflans,233
Costești (Vaslui),3179
圣布里克德朗代莱 (芒什省),616
伊斯兰合作组织,1600000000
Municipio Comanche,3862
圣布里克 (吉伦特省),307
Hinterthal,250
Talki (Wydminy),210
Брюск,314
Steinfeld (Rijnland-Palts),1932
甘佩爾-布拉奇,2007
Enskede-Årsta-Vantör,96916
Maarja-Magdaleena,256
"Agios Theodoros, Larnaca",663
أوبردورف سباتشباتش,351
韦埃 (下莱茵省),554
"Minas Department, Córdoba",4881
Montastruc (Tarn i Garonna),217
Orville (Pas-de-Calais),336
圣萨蒂尔南 (康塔尔省),227
圣索弗德卡尔鲁热 (奥恩省),256
Guantánamo (provincie),510863
Saint-Cyprien (Loire),2385
Saint-Brice-sous-Rânes,165
Шацкий район (Рязанская область),24414
La Villedieu,51
Conflans-en-Jarnisy,2502
Saint-Saturnin-sur-Loire,1205
Agnihal,477
Ribera d'Urgellet,963
Dampierre-lès-Conflans,269
Kostelec nad Vltavou,391
Saint-Cyprien (Corrèze),331
Saint-Sauveur (Hautes-Alpes),442
"Taillebourg, Lot-et-Garonne",92
Marr,146
La Celle-les-Bordes,936
Sangha (Kongo),85738
La Celle-sur-Nièvre,168
Leménil-Mitry,3
"Sanriku, Iwate",8322
Viry (Alta Saboia),3378
"Roșiori, Brăila",3119
Oliva de Mérida,1888
Sankt Martin an der Raab,2074
Soto y Amío,1011
Spychowo,1100
برك (جلغة بهاباد),120
Газа,515556
Niepoględzie,373
グルンヴァルト,800
Arriaga (municipalité),40042
Saint-Sauveur-la-Pommeraye,308
Lagny-le-Sec,1806
La Celle-sous-Chantemerle,154
Marsac-sur-Don,1327
Bassa (Kogi),139993
法蘭西博納依,825
Beauregard-Vendon,1142
Selva di Cadore,557
Loria (Italie),8749
欧鲁,7348
Kulina (Aleksinac),731
Dommartin-lès-Vallois,58
雲蓋 (智利),16949
"Zano, Boulgou",1543
Dommartin-lès-Cuiseaux,731
Costești (Buzău),4778
大余县,280000
Angles (Pireneje Wschodnie),541
Tremblay,1515
Bonneuil (Indre),94
瑞西 (摩泽尔省),475
"Alu, Mazandaran",420
Perthes-lès-Brienne,76
"Akbarabad, Esmaili",674
Maradah,2229
San Carlo Canavese,3943
Taufkirchen an der Pram,2895
Floresta (Buenos Aires),39437
Achola,843
"Biskupice, Lublin Voivodeship",890
Драге (Штайнбург),258
Orville (Loiret),122
Montel-de-Gelat,507
Taï,31928
Алгинский район,38961
Épinay,287
