http://dbpedia.org/ontology/Location,http://dbpedia.org/ontology/populationTotal
"Ovacık, Silifke",993
Taufkirchen (Vils),9425
Mory,346
Marsac-sur-l'Isle,2650
Velle-le-Châtel,144
"Muri, Ranchi",11999
Březnice u Zlína,1195
"Saint-Placide, Quebec",1715
Marey (Vosgos),67
Сен-Сиприен (Восточные Пиренеи),10274
"Faraday, Ontario",1468
"Ksour, Bordj Bou Arreridj",12540
马尔萨克 (克勒兹省),707
"Saint-Martin-des-Champs, Yonne",287
Ajos Epifanios,338
Valle de Matamoros,442
L'Épinay-le-Comte,184
Dobrin (Roemenië),1762
Costești (Vâlcea),3699
Saint-Sauveur (Oise),1665
Bernal (Mexiko),2909
Steinfeld (Caríntia),2291
Lapeyrouse-Fossat,2599
Stare Biskupice,100
Aceguá (Brasilien),4394
Königsfeld (Nadrenia-Palatynat),651
Sassen (Alemanha),89
San Antonio de Padua,37775
Paska,126
"Municipio de Pleasant (condado de Fairfield, Ohio)",6083
"Parava, Bacău",3337
Dragomirești (Vaslui),4893
Le Plessis-Bouchard,8040
Březnice (Zlín),1195
Saint-Jouin-de-Marnes,616
"Municipio de Cedar (condado de Calhoun, Iowa)",408
Boissy-Fresnoy,896
بانيبيد (مقاطعة دالاهو),295
霍赫格山麓奥伯多夫,745
ميله لسليس (كيبك),1629
Juan Díaz (Panama),2634
زيوية (نمة شير),625
Ouro (Santa Catarina),7348
拉马尔恩,1328
Bory (Žďár nad Sázavou District),791
Markt Sankt Martin,1167
Aappilattoq (Kujalleq),132
"Nowa Karczma, Gmina Nowa Karczma",792
Amphoe Bang Pakong,89109
Conflans-sur-Anille,598
Fara (Bloke),56
Krishnanagar (Nepal),20670
Curran (Illinois),240
Provincia de Yungay,54489
"Schönwald, Brandenburg",1238
"Wojnowo, Warmian-Masurian Voivodeship",230
"Campana, Haute-Corse",23
Hussein Dey District,244879
Saint-Saturnin-du-Limet,546
Saint-Sauveur-de-Peyre,251
"Lignerolles, Orne",164
Ozoir-le-Breuil,420
"Delta, Minas Gerais",6600
"Rope, Cheshire",2034
Montastruc-de-Salies,272
Amphoe Bang Pakong,89109
Abbéville-lès-Conflans,233
Bonneuil (Charente),254
Marcinowa Wola,275
Southill (Bedfordshire),1141
La Plata (Kolumbien),57381
Krauschwitz (Saksen),3900
勒特朗布莱,350
Huerta de Rey,1064
拉布拉多,26728
"Bistra, Vrhnika",44
Soto y Amío,1011
Artyomovsky District,27017
Dompierre-sous-Sanvignes,76
Saint-Maximin (Isère),640
Rivera TI,2004
Morašice,236
La Celle (Var),1319
Luzino,6985
ميدينيا (آبلة),156
Dompierre-sur-Charente,460
Saint-Sauveur-de-Pierrepont,143
"Ramin, Zanjan",1078
Nandgaon (Uttar Pradesh),9956
Campana (Korsika),23
Saint-Cyprien (Pirineos Orientales),10274
穆瓦西穆兰奥 (涅夫勒省),26
埃里河畔东皮耶尔,77
Вердер (Любц),431
Saint-Sauveur-lès-Bray,347
Amphoe Phan,128143
"Akbarabad, Nain",27
Luján de Cuyo,104470
Bhildi,5000
Marey,67
Saint-Sauveur-d'Émalleville,1146
Viry (Saona i Loara),254
Kalabrien,1980533
Taillebourg (Lot e Garonna),92
Steinheim am Albuch,8815
Mées,1612
Saint-Saturnin-du-Limet,546
"Pleasant Township, Grant County, Indiana",6797
Qomsheh-ye Lor Zanganeh,258
Баница (гмина Усьце-Горлицке),260
Ramin,660
Boquerón (Chiriquí),3881
Ombrie,889001
جنوب تانغيرانغ,1436187
Rivera (Svizzera),1462
Bassa (Plateau),186859
Sindh,55245497
Saint-Saturnin (Puy-de-Dôme),964
Boissy-lès-Perche,516
Solncevo (quartiere di Mosca),113959
"Kandal, Kurdistan",67
Podunajské Biskupice,19977
Kosakowo (Poméranie),750
Quincy-Voisins,4982
Raz Rural District,6059
Dolní Hořice,804
"Aldergrove, Edmonton",5515
Orville (Côte-d'Or),195
Saint-Cyrille-de-Lessard,753
Moritz (Zerbst/Anhalt),343
Olmedo (Italia),3041
Trnávka (okres Dunajská Streda),428
Saint-Cyprien-sur-Dourdou,813
Saint-Sauveur (Vienne),1073
Aija (distrito),2451
Мала-Ремета,151
Seyssel (Haute-Savoie),2099
"Krzęcin, West Pomeranian Voivodeship",1200
Dommartin (Ródano),2671
Hranice (powiat Czeskie Budziejowice),220
Tamazula,2337
بيت ليد,4994
Neuenkirchen (Diepholz),1174
Tremblay-les-Villages,2177
"Wesenberg, Schleswig-Holstein",1152
Orville (Indre),128
特格尔恩湖畔格蒙德,6069
"Janów, Warmian-Masurian Voivodeship",360
"Municipio de Pleasant (condado de Appanoose, Iowa)",793
Neuenkirchen (Rügen),391
"Saint-Brice, Manche",115
Oden (Míchigan),363
Neuenkirchen (Stade),820
东河畔马尔萨克 (大西洋卢瓦尔省),1327
Mikulovice (Olomouc),2726
De Smet (Idaho),175
伊圖薩因戈 (科連特斯省),21610
Cristóbal (Repubblica Dominicana),5908
Samborowo,1415
Agios Epiktitos,5110
"Altenburg, Lower Austria",814
獨立區 (瓦拉斯省),61705
Stanbridge (Bedfordshire),747
Dommartin-aux-Bois,399
Hořice (okres Pelhřimov),190
Le Plessis-Grammoire,2142
Kirchdorf an der Iller,3564
Villedieu (Cantal),534
Boulogne (Vendeia),664
Rückersdorf (Niederlausitz),1694
Hořice (Vysočina),190
Сен-Совёр (Верхняя Сона),2177
圣索弗拉瓦莱埃 (洛特省),39
Boulogne,664
Beauregard (Lot),244
Karos,504
Bartow (Mecklenburg),580
"Sulzbach, Rhein-Lahn",212
Sierakowice,7068
Barranca de Upía,3926
Acatlán,17914
Trient,138
Saint-Cyprien-sur-Dourdou,813
"Mineral Township, Barry County, Missouri",886
"Oui, Burkina Faso",939
Koura District,70000
Dommartin-sous-Amance,290
Naval (Huesca),270
Soisy-sur-Seine,7318
Итусаинго,771
Saix,212
Фара-Вичентино,3810
Рюкерсдорф (Нижняя Лужица),1694
Corvera de Toranzo,2202
Barrancas (Colômbia),22207
Labrador (Canada),26728
Bischheim (Donnersberg),735
Morašice (district de Svitavy),721
Perreux (Yonne),305
Oberdorf im Burgenland,1062
Le Plessis-Sainte-Opportune,267
Jussy (Moselle),475
Viry (Saône-et-Loire),254
Sainte-Blandine (Isère),911
Асмат (округ),94227
"Municipio de Cedar (condado de Cherokee, Iowa)",405
Dommartin-sous-Hans,53
Stockland Bristol,165
Tremblay,1515
"Pleasant Township, Johnson County, Indiana",52957
Marey,67
"Akbarabad, Tonekabon",217
Plaisance (Dordogne),470
Beauregard-de-Terrasson,694
"Königsfeld, Mecklenburg-Vorpommern",400
シティ・オブ・ボタニー・ベイ,39356
"Rouse, California",2005
"Merlo, Buenos Aires",244168
Němčice (okres Strakonice),110
Al-Mazra’a (As-Suwajda),2596
Paint Creek (Texas),324
Biskupice (powiat poznański),1100
"Lansing Township, Allamakee County, Iowa",1424
Sono Department,7276
Jelen Do,167
Saint-Sauveur-de-Puynormand,405
Le Plessis-Sainte-Opportune,267
"Montagny, Savoie",591
Perthes-lès-Brienne,76
Dáli (Chypre),10466
Cueto (Cuba),34503
"Balgowan, South Australia",312
Kuik-e Majid,230
Veneto,4865380
Sunyer,307
Беверн (Гольштейн),587
Abra Pampa,9425
سالم (نابلس),5100
Lez (Alta Garonna),60
"Gorica, Puconci",326
Bonneuil-en-Valois,1056
Biskupice (województwo lubelskie),890
"Wörth, Upper Bavaria",4470
La Floresta (Uruguay),1595
Saint-Sauveur (Finistère),756
Arauco (Cile),34902
Rzeczyca (powiat bialski),900
Dompierre-sur-Héry,77
"Pleasant Township, Cass County, Iowa",1301
"Suba, Jerusalem",620
Bad Grund (Samtgemeinde),8824
Montastruc-de-Salies,272
Traiskirchen,16194
Igal (Ungheria),1335
Nawabganj (Unnao),9837
Leménil-Mitry,3
巴尔里,134
Golubka,1200
Luján de Cuyo,104470
Saint-Thibault-des-Vignes,6531
Lichnowy (powiat de Malbork),973
Río Segundo,23000
Oberdorff,372
La Tourette,424
Lapeyrouse (Puy-de-Dôme),587
Saint-Sauveur-la-Pommeraye,308
Municipio Tila,71432
Perthes (Haute-Marne),617
Saint-Brice (Orne),158
Noisy-sur-Oise,682
Bobangui,16486
Saint-Brice-sur-Vienne,1518
Soto de la Vega,1888
Scheidt (Saarbrücken),4183
Lapeyrouse-Mornay,1062
Chwaszczyno,2678
Bożepole Wielkie,2089
Berka vor dem Hainich,855
Biskupice-Pulkov,299
Vila (Andorra),1418
Dargobądz,380
Dahlem (Berlin),15796
Coin-lès-Cuvry,667
Andon,562
Jussy (Yonne),462
Санкт-Мартин-бай-Лофер,1152
"Krishnanagar, Nepal",20670
Weißkirchen an der Traun,2982
Saint-Martin-des-Champs (Mancha),2094
"Balsas, Ecuador",3110
Mikulovice (district de Znojmo),622
Oldendorf (Schleswig-Holstein),1214
Moulineaux,903
دالماسيا,852068
Perthes (Ardenne),292
Raïon de Gagarine,136010
圣格拉蒂安,355
阿勞西縣,42823
Ayios Theodoros/Çayırova,406
Villedieu-le-Château,420
Karsin,2200
Saint-Gratien (Somme),355
Azur,575
Sankt Martin (Nadrenia-Palatynat),1813
Brando (Alta Córsega),1561
La Campana (Sevilla),5236
Le Plessis-Brion,1463
Войново (Варминьско-Мазурское воеводство),230
Saint-Gratien-Savigny,130
"Janów, Turek County",238
Lagny,552
Montagny-en-Vexin,640
Lány (Vysočina),60
东皮耶尔迪谢曼,552
Saint-Martin-des-Champs (Manche),2094
"Saint-Cyprien, Pyrénées-Orientales",10274
Dompierre-aux-Bois,45
Barranca de Upía,3926
Daniel Hernández (distrito),9745
Saint-Saturnin (Lozère),73
Okres Hodonín,15771
Barranca de Upía,3926
La Villedieu (Creuse),45
Fara Olivana con Sola,1195
"Minas Department, Neuquén",7072
Gmina Lansing (Iowa),1424
Saint-Sauveur (Vienne),1073
Sind,55245497
Königsfeld im Schwarzwald,6116
Oliva de Mérida,1888
Les Mées (Alpes-de-Haute-Provence),3591
Traisen (Niemcy),574
Бродфорд (Австралия),3387
Марсак-сюр-л’Иль,2650
Dalmatien,852068
Maranoa Region,13862
"Fara, Burkina Faso",9259
Le Plessis-Feu-Aussoux,515
"Saint-Cyprien, Bas-Saint-Laurent, Quebec",1163
Marey,67
Stare Pole,1834
Mée,192
Arborio,1035
Departamento Minas (Córdoba),4881
Biskupice Podgórne,190
Le Plessis-Pâté,3951
"Dali, Izeh",84
利贝瑙 (奥地利),1802
Stockland Bristol,165
"Orville, Loiret",122
Красное (Турковский район),485
Aalbeke,2953
Neuenkirchen (Rügen),391
Podole Wielkie,260
Němčice (district de Prachatice),187
Belleau (Meurthe-et-Moselle),797
Gozdowice,123
"Jazan, Alborz",329
Saint-Sauveur-Gouvernet,209
Seehausen am Staffelsee,2338
"Quiroga, Michoacán",14669
"Taranga, Nepal",3917
Beauregard-Vendon,1142
La Villedieu (Charente Marittima),228
Mermet,41
Saint-Gratien (Somme),355
Němčice u Volyně,110
Trou-Bonbon,6754
Trient,2002
Сен-Совёр (Дордонь),769
Loria,8749
Miroslava (Romênia),11958
チュスト,63800
Saint-Cyprien (Pireneje Wschodnie),10274
Coolamon Shire Council,4289
"Traisen, Germany",574
Alto (California),711
Trnávka (district de Dunajská Streda),428
カザレッジョ・ノヴァーラ,869
塞南 (塔拉戈纳省),53
Кирхдорф (Гриммен),590
Villedieu (Cantal),534
Saint-Placide,1715
Campello (Tessin),58
Phan District,128143
Recologne (Górna Saona),35
La Vallée,677
"Lignerolles, Eure",285
Drage (Frisia Settentrionale),595
Saint-Sauveur-de-Pierrepont,143
Viry (Haute-Savoie),3378
サン＝シプリアン (コレーズ県),331
Salim Beyg,218
Akrotiri (wieś),684
貝爾加拉 (烏拉圭),3810
Svoboda nad Úpou,2171
"Sassen, Germany",89
Kunaparaju Parava,5370
Whidbey Island,58211
Dawu (Garzê),46900
Xinjiang,21815815
Seyssel (Alta Saboya),2099
Distrito de Independencia (Pisco),11166
Aqsu (Almaty),892
Janów (gmina Wolbórz),40
Winsen (Holstein),392
Gimel-les-Cascades,704
Boulogne Sur Mer (Argentina),73496
Nasavrky (okres Ústí nad Orlicí),144
"Stężyca, Pomeranian Voivodeship",2200
惠德比島,58211
Akbarabad-e Hejri,405
Montagny (Loire),1105
"Municipio de Grand Meadow (condado de Clayton, Iowa)",557
Saint-Maximin (Oise),2892
Tarur-II,8607
Boissy-Fresnoy,896
Damery (Marne),1472
Steinen (Westerwald),247
Svoboda nad Úpou,2171
"Ganjeh, Hamadan",169
萨森,89
Lignerolles (Eure),285
Kowale Oleckie,2400
Campello,58
Мирабелло,3407
Coin-sur-Seille,278
La Villedieu (Charente-Maritime),228
Lignerolles (Allier),760
Huerta (gmina),312
Heydar Kar,18
Liebenau (Opper-Oostenrijk),1802
Tangerang Selatan,1436187
"Ljubija, Mozirje",482
"Cedar Township, Cowley County, Kansas",44
Nasavrky (okres Tábor),64
Biskupice Ołoboczne,1500
Dobromilice,873
Boissy-aux-Cailles,326
"Lor, Armenia",365
"Sangha, Mali",32513
Lolme,141
Le Mée,265
Romont (Vosges),339
Cantagallo (Colombia),8167
Merlo (Buenos Aires),244168
Le Mée,265
Malla (Barcelona),266
Dommartin-lès-Toul,1644
"Ganjeh, Ilam",169
Traisen (Germania),574
蒙塔尼圣费利西泰 (瓦兹省),405
"Les Angles, Gard",8269
Damery (Marne),1472
Grandfontaine (Doubs),1467
Saint-Sauveur-la-Pommeraye,308
Tlacolula de Matamoros,16510
Saint-Sauveur-la-Vallée,39
Dommartin-Varimont,131
Umbría (Italia),889001
Lignerolles (Allier),760
Montastruc (Tarn-et-Garonne),217
"Municipio de Ridge (condado de Shelby, Illinois)",427
Dříteň,1565
Wiscasset (Maine),3732
كيتاهيروشيما (هوكايدو),60977
Stare Pole,1834
Lora del Río,19421
Raión de Gagarin,136010
"Municipio de Blackbird (condado de Thurston, Nebraska)",1319
Ribera d'Ondara,420
Rosta,4685
La Celle-sous-Montmirail,111
Ла-Сель (Алье),422
Dompierre-en-Morvan,219
Königsfeld im Schwarzwald,6116
Mory-Montcrux,108
Orville (Indre),128
"Avilla, Arkansas",896
"Lundby, Vordingborg",825
Les Angles (Gard),8269
Naval,270
Saint-Sauveur (Isère),1993
Janów (powiat kielecki),460
ميرابيلو مونفيراتو,1399
Saint-Sauveur (Côte-d'Or),196
Błuskajmy Wielkie,65
Quincy-Voisins,4982
Arue,305
Трайзен (Наэ),574
Horka,1984
Sangha (departament),85738
Zhong (Chongqing),751400
利斯尔河畔马尔萨克 (多尔多涅省),2650
Jussy (Mosela),475
"Comanche, Montana",26
Les Anses-d’Arlet,3978
Montagny-lès-Buxy,227
Liman (Azerbejdżan),12100
Peringottukurissi-II,11702
Saint-Martin-des-Champs (Yonne),287
"Senan, Tarragona",53
Roșiori (Bacău),2156
Arriaga Municipality,40042
St. Martin am Tennengebirge,1406
Orville (Côte-d'Or),195
Wojciechy (Bartoszyce),548
Нойенкирхен (Бассум),1174
Ла-Флореста (Уругвай),1595
Morašice (Svitavy District),721
Viry-Noureuil,1879
Несса (Германия),911
Cugnasco-Gerra,2678
Épinay-Champlâtreux,67
Newcastle (Utah),247
Wilkowo Nowowiejskie,173
塔里,15413
"Esper, Iran",218
比斯特拉乡,5066
Conflans-sur-Loing,353
Dříteň,1565
Фара-Оливана-кон-Сола,1195
Leroy (Alabama),911
Stare Pole (village),1834
Hagen (Holstein),374
Bemowo Piskie,1300
Bourguignon-lès-Conflans,119
Маре-сюр-Тий,326
Queensland du Sud-Est,3400000
"Landser, Haut-Rhin",1626
拉夫尼茨谷地海利根克罗伊茨,1245
Calabria,1980533
Merville (Nord),8903
Pemba (Tanzânia),406808
"Abbecourt, Oise",769
Conflans-en-Jarnisy,2502
马雷 (孚日省),67
Les Mées (Alpes-de-Haute-Provence),3591
Rafah,152950
"Krasne, Lubartów County",550
Сигет (община Нови-Кнежевац),247
Kabupaten d'Asmat,94227
Heiligenkreuz am Waasen,1806
Kleine afgelegen eilanden van de Verenigde Staten,300
Fuente-Olmedo,45
Igal,1335
Cristóbal (Panama),49422
Avot (plaats),160
Sankt Martin an der Raab,2074
塔莱斯,902
Saint-Leu-d’Esserent,4667
Lapeyrouse-Mornay,1062
Němčice (Domažlice District),130
