http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/numberOfStudents
Sankt-Petersburski Państwowy Instytut Górniczy,17658
St. Augustine Catholic High School (Ontario),1329
Art Institute of Dallas,875
SMK Sentul Utama,967
Arizona State University,4067
黎巴嫩大學,68007
Peabody Magnet High School,846
Bellefonte Area School District,2709
Ottawa – Glandorf Local School District,2061
Université polytechnique des Marches,16890
Cumberland High School (Rhode Island),1570
Ulidia Integrated College,511
Central Alabama Community College,2297
Università statale del Kansas,22904
University School of Milwaukee,972
Scholars Online,145
Universidade de Berna,18620
جامعة الشمال الغربي مدرسة فينبرغ للطب,667
Université de Nice - Sophia Antipolis,26647
Los Medanos College,8788
Pasco High School,1615
Monsignor Edward Pace High School,916
Uniwersytet w Sztokholmie,68032
Asian Institute of Tourism,9
National Technological University,76786
Happy Hill Farm Academy,191
"École supérieure Aalto d'art, de design et d'architecture d'Helsinki",1717
Long Stratton High School,637
Hochschule Mainz,4770
Universidad de Berna,16916
Rice University,7057
Polytechnikum Mailand,45703
Академия изобразительных искусств (Вена),1212
Université de Banja Luka,18857
Indian Institute of Management Udaipur,222
PAF Public School Sargodha,381
Tajik National University,22001
国立图卢兹应用科学学院,2187
Williamson Senior High School,584
Basic Education High School No. 9 Mawlamyine,2233
Cheikh Anta Diop University,59370
Glenville State College,2137
Instituto Rio Branco,151
Von Steuben Metropolitan High School,1639
University of Santo Tomas College of Commerce and Business Administration,3505
Asutosh College,4121
École spéciale de mécanique et d'électricité,1429
Midlands Christian College,455
The Hudson School,206
Universität Tsukuba,15343
Buchtel Community Learning Center,735
Georgia Institute of Technology,23632
Université de Catane,61991
Zionsville Community High School,1663
Massachusetts Institute of Technology,12742
Radyr Comprehensive School,1471
"Diocesan School for Girls, Grahamstown",539
Universidad de Orán,25349
Georgiana Bruce Kirby Preparatory School,223
Coudersport Area School District,793
水原大学校,11711
Universiteit van Perugia,24003
Carmi-White County High School,393
光启学校,3726
Liberty Classical Academy,172
St. John's School (Texas),1245
Institut d'études politiques de Toulouse,1710
Polytechnic University of the Philippines Santo Tomas,2607
Riverton Parke Junior-Senior High School,459
Universität Bergamo,16
Bandon Senior High School,251
Uniwersytet Dyneburski,4384
National University of Defense Technology,14450
NewSchool of Architecture and Design,652
St. Thomas University (Florida),4040
克劳斯塔尔工业大学,4
Jeffersonville High School,2247
Université de Mossoul,32140
远东联邦大学,39738
Университет штата Огайо,62930
James Madison High School (Brooklyn),2820
Harrisburg High School (Oregon),218
Moreau Catholic High School,1072
Bridgeport High School (West Virginia),783
Санкт-Петербургский государственный университет сервиса и экономики,36697
Universidad Pedagógica Nacional (México),25233
浙江理工大学,28810
"East High School (Pueblo, Colorado)",1040
University of Ioannina,14155
Sagornal Senior Alim Madrasha,481
Lawrence County High School (Kentucky),687
Flagler Palm Coast High School,2197
Technische Universität Kielce,9789
Erasmus-Universität Rotterdam,24138
John Dwyer Technology Academy,1159
Portlethen Primary School,282
Libera Università degli Studi Per l’Innovazione e le Organizzazioni,1834
Факультет свободных искусств и наук СПбГУ,556
Fessenden School,482
Universiteit van Valladolid,31180
Queen Creek High School,1757
Salzmannschule Schnepfenthal,392
North Carolina Central University,10332
Universidad de Finlandia Oriental,15325
"Singapore International School, Indonesia",1857
"Friends' School, Lisburn",962
Flushing High School,3216
St. Mark's Senior Secondary Public School,3526
Universidad de Costa Rica,40
Instituto de estudios políticos de Aix-en-provence,1941
Fachhochschule Dortmund,12222
Danmarks Designskole,653
Andover Elementary School,30
Escuela Superior de Comercio Carlos Pellegrini,2818
Central Greene School District,1915
Ecclesbourne School,1399
Dakota County Technical College,3242
Laney College,18040
Fullerton Union High School,1992
Penn-Delco School District,3436
Universität Oradea,21901
Canby High School,1605
Universidade Estadual de Iowa,41214
Hochschule für Musik Carl Maria von Weber Dresden,1
Принстонский университет,8971
University of Mindanao,42291
Universidade Bolivariana da Venezuela,158465
Libera Università Internazionale degli Studi Sociali,7939
Northmont High School,1464
Nonsuch High School,1315
International Hotel and Tourism Training Institute,492
Hotel Institute Montreux,1201
Le Cordon Bleu,18195
Belle Vernon Area School District,2872
Central Dauphin East High School,1503
Institut national des sciences appliquées de Toulouse,2082
Taras Shevchenko National University of Kyiv,18797
Nyack College,2733
Santiago College,1513
西方學院,2154
エドモンズコミュニティカレッジ,12609
George Watson's College,2444
ソウル市立大学校,12418
Université polytechnique de Saint-Pétersbourg,28481
萊斯大學,6671
Korea National Open University,162758
Thomas McKean High School,1141
Butler High School (New Jersey),509
Wethersfield High School (Connecticut),1127
Kloof High School,906
Union Theological Seminary (Philippines),118
"New Tech High School, Coppell",368
"Fremont High School (Sunnyvale, California)",2177
University of New York in Prague,775
New Hope High School (Mississippi),913
British School in the Netherlands,2090
Carl Sandburg High School,3904
Penn State York,1282
UIUC College of Media,1191
Johns Hopkins Bloomberg School of Public Health,2015
Mahindra United World College of India,209
Escuela de Medios y Cine Báltico,399
"Eisenhower High School (Yakima, Washington)",1844
Newtown High School (Queens),1933
Peebles High School (Ohio),442
"St John Fisher Catholic High School, Harrogate",2092
Cranston High School West,1456
Montana Academy,73
北京师范大学附属实验中学,4027
North Battleford Comprehensive High School,917
Gibault Catholic High School,248
Augusta High School (Kentucky),102
"St. Andrew's College, Grahamstown",425
Anderson County High School (Kansas),531
Highgate School,1459
BI挪威商學院,19270
Polyvalente Thomas-Albert,609
Smolny College,582
Arizona State University,12580
Driffield School,1677
كلية الحرس السلطاني العماني التقنية,313
Университет ИТМО,11894
Gujarat University,370668
The Lodge School,948
David Oppenheimer Elementary School,381
"Woodlands Academy, Coventry",895
Charlestown High School,895
Санкт-Петербургская художественно-промышленная академия имени А. Л. Штиглица,1378
Mediterranea University of Reggio Calabria,9
"Rye High School (Rye, New York)",1013
The Kurt Hahn Expeditionary Learning School,377
Bradford Area High School,1026
Universidad Tecnológica de Pomerania Occidental,14113
Shelton State Community College,6740
"Northwestern High School (Rock Hill, South Carolina)",1871
Ánimo Venice Charter High School,657
Университет Анкары,44863
Arizona State University,3794
Sacred Heart Sr. Sec. School (Sidhpur),2247
West York Area High School,968
Spruce Creek High School,2978
Bishopshalt School,1356
Mackintosh School of Architecture,423
Tomlinscote School,1539
TC Beirne School of Law,2215
ANU College of Physical and Mathematical Sciences,2357
Lehi High School,2374
Wolverhampton Grammar School,816
Pennsylvania Governor's School for the Arts,191
Université nationale de Chungbuk,18675
"La Salle University, Colombia",14
Kangwon National University School of Law,116
James E. Taylor High School,2686
"Northwest High School (Canal Fulton, Ohio)",703
Uniwersytet Pavla Jozefa Šafárika w Koszycach,6011
Harvard Graduate School of Design,838
"Prince of Wales' College, Moratuwa",5270
Woodham High School,870
Conemaugh Township Area School District,938
Universidad Rice,6412
"Cedar Ridge Middle School (Hyde Park, Utah)",593
Daniel Boone Area School District,3940
Allen Academy,361
Black Mountain College,1121
Springbrook High School,1869
Northern Michigan University,8401
KIIT International School,87
Smithers Secondary School,432
アイントホーフェン工科大学,6871
Feinberg School of Medicine,582
Universidade de Economia Mundial e Nacional,21906
Henley College Coventry,4667
ジョージア工科大学,24597
University of Palermo,48
"Universidade de São Petersburgo de Tecnologia da Informação, Mecânica e Ótica",10482
Little Rock Christian Academy,1557
Reedsport Community Charter School,340
福建省福州第一中学,2195
Georgia Institute of Technology,25157
Universiteit van Indiana,115926
Roundwood Park School,1175
Alfredo M. Velayo College of Accountancy,3955
Universidad de tecnología de Mauricio,4199
Lango College,847
George Washington University Law School,267
EMLYON経営大学院,3603
Abercorn School,423
"Legacy High School (Vancouver, Washington)",258
Union High School (Oregon),228
"Facultad de Radiofísica, Electrónica y Sistemas Informáticos (Universidad de Kiev)",620
Triton Regional High School (New Jersey),1312
Institut d'études politiques de Toulouse,1913
Pisgah High School,1084
"Canterbury School (St. Petersburg, Florida)",521
St. Augustine Preparatory School,649
Maastricht School of Management,1946
Chancellor's School,951
Cranberry Area School District,1347
Massachusetts Institute of Technology,12172
Hochschule für Technik Stuttgart,4
"Ursuline High School, Wimbledon",1154
Collège Montmorency,7672
Deerfield High School (Wisconsin),243
Chung Ling Butterworth High School,2636
ダーラナ大学,13986
Regional Institute of Management and Technology,10843
IE Business School,5293
École internationale de Hô Chi Minh-Ville,1003
Lassiter High School,2271
Glen Ridge High School,874
Universität Stavanger,10728
College of Osteopathic Medicine of the Pacific,1050
Carman-Ainsworth High School,1311
Университет Пенджаба,39414
Universidade Federal de Juiz de Fora,17826
Iowa State University,40268
International School of Uganda,598
四川农业大学,39822
Mandalay Technological University,3108
Азербайджанский государственный университет нефти и промышленности,9826
SupOptique,219
Austin Area School District,202
St. Paul High School (Virginia),197
Sidney Stringer Academy,1277
Päpstliche Universität Heiliger Thomas von Aquin,954
Distrito Escolar Independiente de Tyler,15669
Myanmar Aerospace Engineering University,290
St Peter's Church of England Aided School,1941
Great Marlow School,1173
Dryden High School,555
Stanford University,14949
Sandia High School,2019
约阿尼纳大学,17000
Université de Kagoshima,10687
Coleg Glan Hafren,11133
Budapest University of Technology and Economics,20717
Thousand Oaks High School,2467
克劳斯塔尔工业大学,1
Universidade de Bréscia,14432
Canandaigua Academy,1204
纽约市立大学,535633
Ironwood Ridge High School,2095
Клаустальский технический университет,1
Arizona State University,4388
جامعة رايس,6513
Arcadia High School (Wisconsin),333
Wauconda High School,1280
Elizabeth High School (New Jersey),704
Иркутский государственный лингвистический университет,4041
大阪府立清水谷高等學校,1008
Blue Mountain High School,848
Bucerius Law School,554
Small Heath School,1193
Университет Коменского,26479
Zabol University,13702
Dartmouth College,6353
"Università di Medicina e Farmacia ""Grigore T. Popa""",11643
Heller School for Social Policy and Management,554
Angelo State University College of Graduate Studies,783
Fort Hays State University,14378
Università degli Studi dell'Insubria,9
Shiraz University of Technology,1158
"Jefferson High School (Edgewater, Colorado)",612
Sant Gadge Baba Amravati University,85550
Serra Catholic High School,354
University of Nordland,5728
Eureka High School (Illinois),455
Universidad de Lyon I - Claude Bernard,36721
Оснабрюкский университет,11500
"Evangelical Christian School (Fort Myers, Florida)",630
Strathcona-Tweedsmuir School,797
北密歇根大學,9360
Menlo-Atherton High School,2318
Comenius-Universität Bratislava,25447
جامعة ولاية نيويورك - جامعة أبستيت الطبية,1430
Nueva Granada Military University,26
Bell Gardens High School,3560
Université des sciences et technologies de Mbarara,2902
State Elementary School Cipinang Melayu 11 Petang,299
Kesteven and Sleaford High School,809
Римский университет Ла Сапиенца,116865
Université d'État de Bélarus d'informatique et de radioélectronique,15713
Universiteit van Nottingham,45287
"Aalto University School of Arts, Design and Architecture",1903
Harmony Area School District,353
Gymnasium der Technischen Universität Kaunas,282
جامعة البحرين الطبية,1253
浙江海洋学院,13319
Harvard Graduate School of Education,922
Columbia University,1960
Uniwersytet Acadia,4255
East Linn Christian Academy,258
Bellaire High School (Ohio),481
Permian High School,3825
Bodwell High School,610
Dr. Babasaheb Ambedkar Technological University,3839
Innisfree House School,724
Ursuline College (Chatham),1227
Coral Springs Charter School,1466
亞利桑那州立大學,52871
University of Central Punjab,5061
"Pacific High School (San Bernardino, California)",1350
Central Tech High School,1174
"St Augustine's Roman Catholic High School, Billington",1141
Lviv University,12900
East Kentwood High School,1898
Universität Pierre und Marie Curie,30220
Sheridan Japanese School,82
جامعة كينت,39243
Киевский национальный университет имени Тараса Шевченко,17627
Blacklick Valley School District,665
阿尔托大学艺术设计学院,1954
University of Minnesota Crookston,1911
"Roosevelt High School (Lubbock, Texas)",292
Université Alexandru Ioan Cuza de Iași,26397
St Augustine's Church of England High School,1008
University of Perpetual Help System JONELTA - GMA Campus,4366
West Side Leadership Academy,1128
里斯本新大學,18638
St. Andrew's Episcopal School (Maryland),514
Rye Neck High School,398
J. W. Sexsmith Elementary School,391
Camborne Science and International Academy,1367
鹿兒島大學,11052
Blessed John Henry Newman Roman Catholic College,1433
Pimlico Academy,1240
Cocalico School District,3260
Umatilla High School (Oregon),373
Université islamique d'Ouganda,5796
Rosebery School for Girls,1348
Bradley Stoke Community School,1212
Carre's Grammar School,781
デウスト大学,2269
Columbia University,1932
Riddle High School,220
Université du Rosaire,12235
Accademia di belle arti di Vienna,1290
Black Mountain College,1250
Stockport Academy,649
Sprague High School,1841
Black Mountain College,1270
Federale Universiteit van Bahia,29681
University of Virginia College of Arts and Sciences,11813
Technische Staatsuniversiteit van Armenië,10501
Banbury Academy,1062
St Gregory's Catholic High School,899
Xaveriuscollege (Borgerhout),856
كلية المكسيك,425
Stayton High School,834
Universidad de Bulacán,28581
Asheville–Buncombe Technical Community College,22404
Bristol Law School,316
Cégep Garneau,7944
Conemaugh Valley School District,1024
